"id","integrator_request_id","request","response"
605,"243631-231670-1969fd1c4cd","{""serviceId"":""smev-inspector"",""requestType"":""OP402"",""additionalDetails"":""243631-231670-1969fd1c4cd"",""requestContent"":{""svUl"":{""nameUl"":""Федеральная служба по регулированию алкогольного рынка (Росалкогольрегулирование)"",""ogrn"":""1097746136124"",""innUl"":""7710747640""},""requestUl"":{""kppOp"":""784133001"",""ogrn"":null,""innUl"":""7841051711""},""requestId"":""2a894343-4977-4f9a-ad44-7dae5759285c"",""typeInf"":""ЗапрПостУч""},""requestId"":""ea48a9e2-d7bc-4b12-9127-c08f7fb70691"",""clientInternalNumber"":""Л-1424""}",
73920,"243628-231670-1969fd112db","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd112db"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""0a26b3ba-9095-4088-af02-8d10f1b3dd4d""},""requestId"":""d8a0e950-7284-4429-8513-f62cf462d405""}",
73956,"243628-231670-1969fd2612f","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd2612f"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""ae92433a-62ea-4802-ac1c-31bc204615bc""},""requestId"":""071ae9d3-5982-4f22-b420-d2bc94d5f684""}",
73929,"243628-231670-1969fd17da1","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd17da1"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""e05ec1e3-8be6-431a-a1f2-8e78d8ffe1db""},""requestId"":""5ef1ef57-afb4-4e27-b521-11a5414ca248""}",
73938,"243628-231670-1969fd1c6a2","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd1c6a2"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""e74289b9-abed-428f-a974-6c19f545f4b7""},""requestId"":""4368740f-de70-4f5e-9225-218d8fbfb5a2""}",
2663,"243630-231670-1969fd07eb4","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""INFZDL"",""additionalDetails"":""243630-231670-1969fd07eb4"",""requestContent"":{""inn"":""7841051711"",""date"":""2025-05-01"",""request"":{""ulName"":""Наименование юридического лица"",""ogrn"":""1000000000000"",""innUl"":""1000000002""},""requestId"":""0a8bf3c7-cf0d-4ef8-b1ad-a3a0796f2097""},""requestId"":""04e60408-4e99-470d-b780-df6b6807fc56""}",
73947,"243628-231670-1969fd20c8e","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd20c8e"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""b24d9dbb-c8a3-4fb8-9cc9-a208f28ff204""},""requestId"":""3c679c84-2913-415f-8348-5efff4181140""}",
73902,"243628-231670-1969fd07fa4","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd07fa4"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""72ff1072-6caa-4a45-b07e-e3052b40758a""},""requestId"":""3594f75b-2e43-48b0-adf4-c9b96d4fc4cd""}",
1488,"243632-231670-1969fd07fce","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""GISGMP"",""additionalDetails"":""243632-231670-1969fd07fce"",""requestContent"":{""requestId"":""f_29f7e652-a7de-407e-a493-fe3b8bc83b9c"",""timestamp"":""2025-05-05T12:39:23.737701338"",""senderIdentifier"":""35369b"",""senderRole"":""1"",""pageNumber"":null,""pageLength"":null,""kind"":""CHARGESTATUS"",""supplierBillID"":null,""deptDate"":""2025-05-05"",""external"":""0"",""inn"":""7841051711""},""requestId"":""888450c6-b234-4095-bcd0-96b1f8971095""}",
73965,"243628-231670-1969fd2d70a","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd2d70a"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""a7f8b728-d98c-46a9-b383-16911483389b""},""requestId"":""5a6e8ac8-f794-4407-8ee0-3936d629eb0e""}",
73911,"243628-231670-1969fd0bfef","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1424"",""requestType"":""EGRUL"",""additionalDetails"":""243628-231670-1969fd0bfef"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""0d811e46-2aeb-4048-925e-80e2fe327993""},""requestId"":""a56d45cd-d0cb-495e-a305-e6ffdac4ef36""}",
